,time,prcp (mm/day),meanT (deg C),Q (mm/day),newPET
0,1995-01-01,0.0,-1.065,0.1340521763039233,0.76653486
11,1995-01-01,0.0,-1.065,0.1340521763039233,0.59699047
10,1995-01-01,0.0,-1.065,0.1340521763039233,0.59731954
9,1995-01-01,0.0,-1.065,0.1340521763039233,0.59699047
7,1995-01-01,0.0,-1.065,0.1340521763039233,0.59699047
6,1995-01-01,0.0,-1.065,0.1340521763039233,0.59699047
8,1995-01-01,0.0,-1.065,0.1340521763039233,0.59699047
4,1995-01-01,0.0,-1.065,0.1340521763039233,0.59699047
3,1995-01-01,0.0,-1.065,0.1340521763039233,0.59699047
2,1995-01-01,0.0,-1.065,0.1340521763039233,0.76653486
1,1995-01-01,0.0,-1.065,0.1340521763039233,0.6973293
5,1995-01-01,0.0,-1.065,0.1340521763039233,0.59699047
19,1995-01-02,0.0,-6.92,0.12064695867353095,0.89796543
23,1995-01-02,0.0,-6.92,0.12064695867353095,0.89796543
22,1995-01-02,0.0,-6.92,0.12064695867353095,0.8988895
21,1995-01-02,0.0,-6.92,0.12064695867353095,0.89796543
20,1995-01-02,0.0,-6.92,0.12064695867353095,0.89796543
18,1995-01-02,0.0,-6.92,0.12064695867353095,0.89796543
14,1995-01-02,0.0,-6.92,0.12064695867353095,0.8238771
16,1995-01-02,0.0,-6.92,0.12064695867353095,0.89796543
15,1995-01-02,0.0,-6.92,0.12064695867353095,0.89796543
13,1995-01-02,0.0,-6.92,0.12064695867353095,0.91266024
12,1995-01-02,0.0,-6.92,0.12064695867353095,0.8238771
17,1995-01-02,0.0,-6.92,0.12064695867353095,0.89796543
31,1995-01-03,0.0,-8.055,0.10053913222794246,0.62507844
35,1995-01-03,0.0,-8.055,0.10053913222794246,0.62507844
34,1995-01-03,0.0,-8.055,0.10053913222794246,0.626931
33,1995-01-03,0.0,-8.055,0.10053913222794246,0.62507844
32,1995-01-03,0.0,-8.055,0.10053913222794246,0.62507844
30,1995-01-03,0.0,-8.055,0.10053913222794246,0.62507844
26,1995-01-03,0.0,-8.055,0.10053913222794246,0.6842356
28,1995-01-03,0.0,-8.055,0.10053913222794246,0.62507844
27,1995-01-03,0.0,-8.055,0.10053913222794246,0.62507844
25,1995-01-03,0.0,-8.055,0.10053913222794246,0.66894346
24,1995-01-03,0.0,-8.055,0.10053913222794246,0.6842356
29,1995-01-03,0.0,-8.055,0.10053913222794246,0.62507844
47,1995-01-04,0.0,-13.105,0.08713391459755014,0.6057805
46,1995-01-04,0.0,-13.105,0.08713391459755014,0.59586614
45,1995-01-04,0.0,-13.105,0.08713391459755014,0.6057805
44,1995-01-04,0.0,-13.105,0.08713391459755014,0.6057805
43,1995-01-04,0.0,-13.105,0.08713391459755014,0.6057805
42,1995-01-04,0.0,-13.105,0.08713391459755014,0.6057805
41,1995-01-04,0.0,-13.105,0.08713391459755014,0.6057805
