,time,prcp (mm/day),meanT (deg C),Q (mm/day),newPET
0,1995-01-01,0.0,-6.36,0.08219285354169727,0.8381604
1,1995-01-01,0.0,-6.36,0.08219285354169727,0.8286339
2,1995-01-01,0.0,-6.36,0.08219285354169727,0.841385
3,1995-01-01,0.0,-6.36,0.08219285354169727,0.8286339
4,1995-01-02,0.0,-7.175,0.06893594168013317,0.6752579
5,1995-01-02,0.0,-7.175,0.06893594168013317,0.7173208
6,1995-01-02,0.0,-7.175,0.06893594168013317,0.73093116
7,1995-01-02,0.0,-7.175,0.06893594168013317,0.7173208
11,1995-01-03,0.0,-8.635,0.07423870642475881,0.613194
10,1995-01-03,0.0,-8.635,0.07423870642475881,0.5851511
8,1995-01-03,0.0,-8.635,0.07423870642475881,0.65719146
9,1995-01-03,0.0,-8.635,0.07423870642475881,0.613194
15,1995-01-04,0.0,-13.73,0.055679029818569106,0.5491108
12,1995-01-04,0.0,-13.73,0.055679029818569106,0.5216586
13,1995-01-04,0.0,-13.73,0.055679029818569106,0.5491108
14,1995-01-04,0.0,-13.73,0.055679029818569106,0.581736
19,1995-01-05,1.49,-10.055,0.05037626507394349,1.0725602
18,1995-01-05,1.49,-10.055,0.05037626507394349,1.0312858
16,1995-01-05,1.49,-10.055,0.05037626507394349,1.0112507
17,1995-01-05,1.49,-10.055,0.05037626507394349,1.0725602
20,1995-01-06,1.96,-7.115,0.055679029818569106,0.36259264
21,1995-01-06,1.96,-7.115,0.055679029818569106,0.32858002
22,1995-01-06,1.96,-7.115,0.055679029818569106,0.35929662
23,1995-01-06,1.96,-7.115,0.055679029818569106,0.32858002
27,1995-01-07,0.0,-8.61,0.055679029818569106,0.56198096
24,1995-01-07,0.0,-8.61,0.055679029818569106,0.45077777
25,1995-01-07,0.0,-8.61,0.055679029818569106,0.56198096
26,1995-01-07,0.0,-8.61,0.055679029818569106,0.57661295
28,1995-01-08,0.66,-8.545,0.047724882701630666,0.32379496
29,1995-01-08,0.66,-8.545,0.047724882701630666,0.26767117
30,1995-01-08,0.66,-8.545,0.047724882701630666,0.28427607
31,1995-01-08,0.66,-8.545,0.047724882701630666,0.26767117
34,1995-01-09,0.0,-5.77,0.05302764744625629,0.659244
35,1995-01-09,0.0,-5.77,0.05302764744625629,0.64373684
32,1995-01-09,0.0,-5.77,0.05302764744625629,0.5166945
33,1995-01-09,0.0,-5.77,0.05302764744625629,0.64373684
39,1995-01-10,0.0,-3.005,0.055679029818569106,0.7169607
38,1995-01-10,0.0,-3.005,0.055679029818569106,0.7495123
37,1995-01-10,0.0,-3.005,0.055679029818569106,0.7169607
36,1995-01-10,0.0,-3.005,0.055679029818569106,0.55487764
40,1995-01-11,0.0,1.6050000000000002,0.06098179456319475,0.3006465
